user_id,name,phone,relation,risk_tag
U0001,Hoàng Thành,09410002501,friend,debt_collector
U0001,Lê Chi,09873858191,coworker,short_loan_ad
U0001,Đỗ Ngọc,08860461074,family,short_loan_ad
U0001,Phan Hà,09748951188,friend,debt_collector
U0001,Bùi Ngân,09577916265,friend,none
U0001,Bùi Dung,09548737690,friend,short_loan_ad
U0001,Lê Hùng,09181048316,friend,loan_agent
U0001,Trương Vy,09071056712,friend,loan_agent
U0001,Đỗ Quân,09616160398,friend,short_loan_ad
U0001,Trương Thảo,08880542029,friend,short_loan_ad
U0001,Bùi An,09191423076,friend,none
U0001,Võ Chi,08724122972,friend,debt_collector
U0001,Võ Ngân,09274702196,friend,none
U0001,Trần Hà,08317316155,unknown,short_loan_ad
U0001,Lê Hải,08652335175,coworker,debt_collector
U0001,Trần Quang,09475579900,friend,none
U0001,Bùi Vy,08550314583,coworker,none
U0001,Đặng Bình,08398458935,friend,debt_collector
U0001,Đỗ An,09277144224,unknown,loan_agent
U0001,Võ Phương,08678681550,unknown,none
U0001,Huỳnh Dung,08399779947,coworker,loan_agent
U0001,Trương Ngân,08572836409,coworker,loan_agent
U0001,Đặng An,09275224820,coworker,debt_collector
U0001,Bùi Hà,08930937400,friend,none
U0001,Huỳnh Trung,09712332716,unknown,none
U0001,Nguyễn Lan,09094668086,friend,none
U0001,Bùi Phương,09452983757,coworker,none
U0001,Huỳnh Trung,08830697585,friend,none
U0001,Huỳnh Dung,08792051144,friend,none
U0001,Hoàng Phương,09322878954,service,none
U0001,Lê Hải,09360083705,family,none
U0001,Võ Trang,09779913191,friend,none
U0001,Dương Dung,08550648126,coworker,none
U0001,Trần An,09519842043,coworker,none
U0001,Đinh Thành,08961469273,coworker,none
U0001,Ngô Dung,09226041429,service,none
U0001,Hồ Minh,08779410784,friend,none
U0001,Hồ Đạt,09779314806,service,none
U0001,Phạm Thảo,09037826097,unknown,none
U0001,Nguyễn Hùng,09361620322,family,none
U0001,Trần Thành,08538203719,service,none
U0001,Vũ Dung,09093149201,coworker,none
U0001,Phan Bình,08672953350,coworker,none
U0001,Đặng Đạt,08879034961,coworker,none
U0001,Hoàng Khánh,08647126032,friend,none
U0001,Đinh Vy,09267538744,friend,none
U0001,Dương Giang,08927405250,family,none
U0001,Phạm Giang,08482074303,coworker,none
U0001,Đặng Đạt,09752178164,friend,none
U0001,Trương Hùng,09419776389,coworker,none
U0001,Đỗ Vy,09362944529,friend,none
U0001,Bùi Hải,08865486913,family,none
U0001,Đinh Quân,09338198905,family,none
U0001,Vũ Đạt,09763502106,family,none
U0001,Trương Bình,08599500291,family,none
U0001,Đinh Sơn,09414283727,friend,none
U0001,Trương Trung,09470260291,coworker,none
U0001,Lê Phương,08552813629,friend,none
U0001,Trương Trung,09156264998,friend,none
U0001,Bùi Hải,09778432337,friend,none
U0001,Đặng Ngân,09061248108,friend,none
U0001,Dương Quân,08835899575,coworker,none
U0001,Nguyễn Ngân,08961718123,coworker,none
U0001,Trương Thảo,08995328885,friend,none
U0001,Vũ Ngân,08623034737,family,none
U0001,Vũ Minh,09776472255,friend,none
U0001,Đinh Khánh,09845526014,coworker,none
U0001,Trần Trung,09194366838,family,none
U0001,Trần Hải,08377030635,friend,none
U0001,Trương Quân,09781906707,family,none
U0001,Huỳnh Trang,08722877370,friend,none
U0001,Đặng Dung,09672263271,service,none
U0001,Hoàng Khánh,09679362761,friend,none
U0001,Hồ Vy,09437121951,friend,none
U0001,Trương Lan,09872636304,friend,none
U0001,Vũ An,08532738378,family,none
U0001,Đỗ Hà,08773298722,coworker,none
U0001,Đỗ Lan,08866631351,family,none
U0001,Bùi Thành,09331111417,coworker,none
U0001,Phan Bình,08722677161,unknown,none
U0001,Huỳnh Vy,09093937319,service,none
U0001,Đinh Sơn,09577258183,friend,none
U0001,Phan Minh,08810590549,friend,none
U0001,Dương Sơn,08630023182,friend,none
